track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,popularity
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826,0.08587150957731057,B,Major,0.857687563512956,1.6024224127391034,1.157487493107825,0.18327973427021071,-0.19150181181757883,-0.751025903818015,-0.6396989092517682,0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,-1.0855307244134782,C#,Major,0.24460040501196834,0.41629654089334467,0.5987161692805807,-0.7593017562623013,-0.19150181181757883,-0.6033365105138819,-0.6396989092517682,0
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,0.547332995694894,F,Major,-1.1178155027680043,-0.8121909692326196,-0.7050835863163228,-0.36655946854042126,-0.19150181181757883,0.9474021191795152,-0.4439388080143997,0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,1.6832381922920223,A,Major,-0.8453323212120099,0.2892116260527277,0.4745447639856375,-0.6022048411735493,-0.19150181181757883,-0.5294918138618154,0.43698164755375807,2
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,0.7603152200568556,A,Minor,-0.16412436732202348,-1.1934457137544705,0.9712303851654103,-0.48438215485698527,6.9944289487065765,-0.5294918138618154,-0.4439388080143997,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,0.6538241078758747,C#,Major,1.6751371081809396,0.628104732294373,-0.3946550730789648,-0.2880110109960453,-0.19150181181757883,-0.751025903818015,1.3179021031219158,1
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,0.9023033696314966,F,Minor,-0.02788277654402621,1.3482525830578693,0.7228875745755239,0.8509416233974068,-0.19150181181757883,-0.751025903818015,-0.7375789598704523,2
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,-0.801554425264196,F,Major,-0.02788277654402621,-1.0663607989138537,0.4124590613381659,0.41892510690333873,-0.19150181181757883,-0.5294918138618154,-0.6396989092517682,0
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,0.2633566965456119,C#,Minor,1.1982915404579493,-1.2358073520346762,-0.14631226248907844,-0.5629306124013613,-0.19150181181757883,0.7258680292233156,-0.15029865615834714,0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,1.6832381922920223,D,Minor,0.9258083589019547,0.20448834949231634,-1.0155120995536808,-0.20946255345166928,-0.19150181181757883,-0.751025903818015,2.1988225586900736,1
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251,-1.4050040609564205,F#,Minor,-0.7090907304340126,0.20448834949231634,0.4745447639856375,-0.13091409590729328,-0.19150181181757883,0.6520233325712491,-0.541818858633084,1
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,0.9732974444188172,F,Minor,0.7214459727349588,0.03504179637149369,1.0954017904603535,-0.3272852397682333,-0.19150181181757883,-0.23411302725354927,-0.34605875739571557,0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",0.2633566965456119,D,Minor,-1.1178155027680043,-0.8121909692326196,-1.3259406127910387,2.2255396304239867,-0.19150181181757883,-0.6771812071659484,-0.7375789598704523,1
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,-1.1920218365944588,G#,Major,-0.2322451627110221,-0.3462129481503573,0.5366304666331091,-0.8378502138066773,1.747558869593701,-0.16026833060148274,-0.6396989092517682,2
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0,-0.09161367739099073,B,Minor,0.7214459727349588,1.0517211150964296,-0.3325693704314932,0.6545704795364667,-0.19150181181757883,1.168936209135715,-0.7375789598704523,1
